isic_code,isic_name,section_code,section_name,division_code,group_code,tradable_atlas,confidence_atlas,mixed_atlas,tradable_regional,confidence_regional,mixed_regional,rationale,entry_regime,confidence_entry,mixed_entry,rationale_entry
0162,Support activities for animal production,A,"Agriculture, forestry and fishing",01,016,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (support activities for animal production) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Support activities for animal production) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0163,Post-harvest crop activities,A,"Agriculture, forestry and fishing",01,016,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (post-harvest crop activities) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Post-harvest crop activities) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0164,Seed processing for propagation,A,"Agriculture, forestry and fishing",01,016,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (seed processing for propagation) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Seed processing for propagation) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0170,"Hunting, trapping and related service activities",A,"Agriculture, forestry and fishing",01,017,tradable,0.96,False,tradable,0.96,False,"Primary agricultural/forestry/fishing output (hunting, trapping and related service activities) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.",open_market,0.93,False,"Primary production (Hunting, trapping and related service activities) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0210,Silviculture and other forestry activities,A,"Agriculture, forestry and fishing",02,021,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (silviculture and other forestry activities) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Silviculture and other forestry activities) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0220,Logging,A,"Agriculture, forestry and fishing",02,022,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (logging) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Logging) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0230,Gathering of non-wood forest products,A,"Agriculture, forestry and fishing",02,023,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (gathering of non-wood forest products) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Gathering of non-wood forest products) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0240,Support services to forestry,A,"Agriculture, forestry and fishing",02,024,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (support services to forestry) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Support services to forestry) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0311,Marine fishing,A,"Agriculture, forestry and fishing",03,031,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (marine fishing) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Marine fishing) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0312,Freshwater fishing,A,"Agriculture, forestry and fishing",03,031,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (freshwater fishing) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Freshwater fishing) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0321,Marine aquaculture,A,"Agriculture, forestry and fishing",03,032,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (marine aquaculture) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Marine aquaculture) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0322,Freshwater aquaculture,A,"Agriculture, forestry and fishing",03,032,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (freshwater aquaculture) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Freshwater aquaculture) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0510,Mining of hard coal,B,Mining and quarrying,05,051,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (mining of hard coal) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,state_allocated,0.76,False,"Coal mining sits in the non-renewable-resource sector the Constitution (art. 313) reserves to state administration, and the mining cadastre through which concessions are requested has been closed since 2018 — so no province can acquire this industry by private application, let alone by investment."
0520,Mining of lignite,B,Mining and quarrying,05,052,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (mining of lignite) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,state_allocated,0.76,False,"Lignite mining is governed by the same art. 313 strategic-sector regime and the same closed cadastre as hard coal: the right to mine is granted or withheld nationally, not competed for locally."
0610,Extraction of crude petroleum,B,Mining and quarrying,06,061,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (extraction of crude petroleum) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,state_allocated,0.90,False,Ecuador's hydrocarbons are inalienable state property (Constitution arts. 1 and 408) and crude production is overwhelmingly Petroecuador's; private participation exists only through service contracts on nationally tendered blocks. A province cannot enter oil extraction — it can only host a block the state assigns.
0620,Extraction of natural gas,B,Mining and quarrying,06,062,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (extraction of natural gas) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,state_allocated,0.88,False,Natural-gas extraction (the Amistad field and associated gas) runs on the same state-ownership and block-award regime as crude: Petroecuador operates and the acreage is allocated nationally.
0710,Mining of iron ores,B,Mining and quarrying,07,071,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (mining of iron ores) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,state_allocated,0.72,False,"Metallic mining is an art. 313 strategic sector; the large projects (Mirador, Fruta del Norte) advance as nationally negotiated concession and exploitation contracts, and with the cadastre closed since 2018 no new concession can even be requested. Private capital operates, but the right to operate is state-allocated."
0721,Mining of uranium and thorium ores,B,Mining and quarrying,07,072,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (mining of uranium and thorium ores) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,state_allocated,0.86,False,Uranium and thorium are radioactive materials under exclusive state control; there is no lawful private-entry channel into their extraction in Ecuador.
0729,Mining of other non-ferrous metal ores,B,Mining and quarrying,07,072,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (mining of other non-ferrous metal ores) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,state_allocated,0.72,False,Other non-ferrous metal ore mining shares the art. 313 strategic-sector regime and the closed mining cadastre: where it happens is a national concession decision layered on top of geology.
0810,"Quarrying of stone, sand and clay",B,Mining and quarrying,08,081,tradable,0.95,False,tradable,0.95,False,"Mining/quarrying output (quarrying of stone, sand and clay) is a physical raw commodity traded internationally and across regions; tradable under both definitions.",open_market,0.72,False,"Non-metallic quarrying and extraction support (Quarrying of stone, sand and clay) operates in Ecuador as ordinary private business — small concessions and libre aprovechamiento for construction materials, and competitively contracted oilfield and mining services. Entry is by concession application and environmental licence, not by ministry siting."
0891,Mining of chemical and fertilizer minerals,B,Mining and quarrying,08,089,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (mining of chemical and fertilizer minerals) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,open_market,0.72,False,"Non-metallic quarrying and extraction support (Mining of chemical and fertilizer minerals) operates in Ecuador as ordinary private business — small concessions and libre aprovechamiento for construction materials, and competitively contracted oilfield and mining services. Entry is by concession application and environmental licence, not by ministry siting."
0892,Extraction of peat,B,Mining and quarrying,08,089,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (extraction of peat) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,open_market,0.72,False,"Non-metallic quarrying and extraction support (Extraction of peat) operates in Ecuador as ordinary private business — small concessions and libre aprovechamiento for construction materials, and competitively contracted oilfield and mining services. Entry is by concession application and environmental licence, not by ministry siting."
0893,Extraction of salt,B,Mining and quarrying,08,089,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (extraction of salt) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,open_market,0.72,False,"Non-metallic quarrying and extraction support (Extraction of salt) operates in Ecuador as ordinary private business — small concessions and libre aprovechamiento for construction materials, and competitively contracted oilfield and mining services. Entry is by concession application and environmental licence, not by ministry siting."
0899,Other mining and quarrying n.e.c.,B,Mining and quarrying,08,089,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (other mining and quarrying n.e.c.) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,open_market,0.72,False,"Non-metallic quarrying and extraction support (Other mining and quarrying n.e.c.) operates in Ecuador as ordinary private business — small concessions and libre aprovechamiento for construction materials, and competitively contracted oilfield and mining services. Entry is by concession application and environmental licence, not by ministry siting."
0910,Support activities for petroleum and natural gas extraction,B,Mining and quarrying,09,091,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (support activities for petroleum and natural gas extraction) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,open_market,0.72,False,"Non-metallic quarrying and extraction support (Support activities for petroleum and natural gas extraction) operates in Ecuador as ordinary private business — small concessions and libre aprovechamiento for construction materials, and competitively contracted oilfield and mining services. Entry is by concession application and environmental licence, not by ministry siting."
0990,Support activities for other mining and quarrying,B,Mining and quarrying,09,099,tradable,0.95,False,tradable,0.95,False,Mining/quarrying output (support activities for other mining and quarrying) is a physical raw commodity traded internationally and across regions; tradable under both definitions.,open_market,0.72,False,"Non-metallic quarrying and extraction support (Support activities for other mining and quarrying) operates in Ecuador as ordinary private business — small concessions and libre aprovechamiento for construction materials, and competitively contracted oilfield and mining services. Entry is by concession application and environmental licence, not by ministry siting."
1010,Processing and preserving of meat,C,Manufacturing,10,101,tradable,0.93,False,tradable,0.93,False,"Manufactured physical good (processing and preserving of meat); ships to buyers in other provinces and abroad, so tradable under both Atlas and regional definitions.",open_market,0.95,False,"Manufacturing (Processing and preserving of meat) is entered by building a plant: a private investor can cause it to appear wherever inputs, labour and logistics work. Sanitary, environmental and labelling permits (ARCSA, MAATE) supervise how it operates, never whether a province may have it."
1020,"Processing and preserving of fish, crustaceans and molluscs",C,Manufacturing,10,102,tradable,0.93,False,tradable,0.93,False,"Manufactured physical good (processing and preserving of fish, crustaceans and molluscs); ships to buyers in other provinces and abroad, so tradable under both Atlas and regional definitions.",open_market,0.95,False,"Manufacturing (Processing and preserving of fish, crustaceans and molluscs) is entered by building a plant: a private investor can cause it to appear wherever inputs, labour and logistics work. Sanitary, environmental and labelling permits (ARCSA, MAATE) supervise how it operates, never whether a province may have it."
1030,Processing and preserving of fruit and vegetables,C,Manufacturing,10,103,tradable,0.93,False,tradable,0.93,False,"Manufactured physical good (processing and preserving of fruit and vegetables); ships to buyers in other provinces and abroad, so tradable under both Atlas and regional definitions.",open_market,0.95,False,"Manufacturing (Processing and preserving of fruit and vegetables) is entered by building a plant: a private investor can cause it to appear wherever inputs, labour and logistics work. Sanitary, environmental and labelling permits (ARCSA, MAATE) supervise how it operates, never whether a province may have it."
1040,Manufacture of vegetable and animal oils and fats,C,Manufacturing,10,104,tradable,0.93,False,tradable,0.93,False,"Manufactured physical good (manufacture of vegetable and animal oils and fats); ships to buyers in other provinces and abroad, so tradable under both Atlas and regional definitions.",open_market,0.95,False,"Manufacturing (Manufacture of vegetable and animal oils and fats) is entered by building a plant: a private investor can cause it to appear wherever inputs, labour and logistics work. Sanitary, environmental and labelling permits (ARCSA, MAATE) supervise how it operates, never whether a province may have it."
1050,Manufacture of dairy products,C,Manufacturing,10,105,tradable,0.93,False,tradable,0.93,False,"Manufactured physical good (manufacture of dairy products); ships to buyers in other provinces and abroad, so tradable under both Atlas and regional definitions.",open_market,0.95,False,"Manufacturing (Manufacture of dairy products) is entered by building a plant: a private investor can cause it to appear wherever inputs, labour and logistics work. Sanitary, environmental and labelling permits (ARCSA, MAATE) supervise how it operates, never whether a province may have it."
1061,Manufacture of grain mill products,C,Manufacturing,10,106,tradable,0.93,False,tradable,0.93,False,"Manufactured physical good (manufacture of grain mill products); ships to buyers in other provinces and abroad, so tradable under both Atlas and regional definitions.",open_market,0.95,False,"Manufacturing (Manufacture of grain mill products) is entered by building a plant: a private investor can cause it to appear wherever inputs, labour and logistics work. Sanitary, environmental and labelling permits (ARCSA, MAATE) supervise how it operates, never whether a province may have it."
1062,Manufacture of starches and starch products,C,Manufacturing,10,106,tradable,0.93,False,tradable,0.93,False,"Manufactured physical good (manufacture of starches and starch products); ships to buyers in other provinces and abroad, so tradable under both Atlas and regional definitions.",open_market,0.95,False,"Manufacturing (Manufacture of starches and starch products) is entered by building a plant: a private investor can cause it to appear wherever inputs, labour and logistics work. Sanitary, environmental and labelling permits (ARCSA, MAATE) supervise how it operates, never whether a province may have it."
1071,Manufacture of bakery products,C,Manufacturing,10,107,tradable,0.93,False,tradable,0.93,False,"Manufactured physical good (manufacture of bakery products); ships to buyers in other provinces and abroad, so tradable under both Atlas and regional definitions.",open_market,0.95,False,"Manufacturing (Manufacture of bakery products) is entered by building a plant: a private investor can cause it to appear wherever inputs, labour and logistics work. Sanitary, environmental and labelling permits (ARCSA, MAATE) supervise how it operates, never whether a province may have it."
1072,Manufacture of sugar,C,Manufacturing,10,107,tradable,0.93,False,tradable,0.93,False,"Manufactured physical good (manufacture of sugar); ships to buyers in other provinces and abroad, so tradable under both Atlas and regional definitions.",open_market,0.95,False,"Manufacturing (Manufacture of sugar) is entered by building a plant: a private investor can cause it to appear wherever inputs, labour and logistics work. Sanitary, environmental and labelling permits (ARCSA, MAATE) supervise how it operates, never whether a province may have it."
1073,"Manufacture of cocoa, chocolate and sugar confectionery",C,Manufacturing,10,107,tradable,0.93,False,tradable,0.93,False,"Manufactured physical good (manufacture of cocoa, chocolate and sugar confectionery); ships to buyers in other provinces and abroad, so tradable under both Atlas and regional definitions.",open_market,0.95,False,"Manufacturing (Manufacture of cocoa, chocolate and sugar confectionery) is entered by building a plant: a private investor can cause it to appear wherever inputs, labour and logistics work. Sanitary, environmental and labelling permits (ARCSA, MAATE) supervise how it operates, never whether a province may have it."
