ciiu_code,ciiu_name,ciiu_level,sector,ciiu_name_en
Q88,Actividades De Asistencia Social Sin Alojamiento.,division,,Social work activities without accommodation
R90,"Actividades Creativas, Artísticas Y De Entretenimiento.",division,,"Creative, arts and entertainment activities"
R91,"Actividades De Bibliotecas, Archivos, Museos Y Otras Actividades Culturales.",division,,"Libraries, archives, museums and other cultural activities"
R92,Actividades De Juegos De Azar Y Apuestas.,division,,Gambling and betting activities
R93,"Actividades Deportivas, De Esparcimiento Y Recreativas.",division,,Sports activities and amusement and recreation activities
S94,Actividades De Asociaciones.,division,,Activities of membership organizations
S95,Reparación De Computadores Y De Efectos Personales Y Enseres Domésticos.,division,,Repair of computers and personal and household goods
S96,Otras Actividades De Servicios Personales.,division,,Other personal service activities
T97,Actividades De Los Hogares Como Empleadores De Personal Doméstico.,division,,Activities of households as employers of domestic personnel
T98,Actividades No Diferenciadas De Los Hogares Como Productores De Bienes Y Servicios Para Uso Propio.,division,,Undifferentiated goods- and services-producing activities of private households for own use
U99,Actividades De Organizaciones Y Órganos Extraterritoriales.,division,,Activities of extraterritorial organizations and bodies
A0111,"Cultivo De Cereales (Excepto Arroz), Legumbres Y Semillas Oleaginosas.",class,,"Growing of cereals (except rice), leguminous crops and oil seeds"
A0112,Cultivo De Arroz.,class,,Growing of rice
A0113,"Cultivo De Hortalizas Y Melones, Raíces Y Tubérculos.",class,,"Growing of vegetables and melons, roots and tubers"
A0114,Cultivo De Caña De Azúcar.,class,,Growing of sugar cane
A0115,Cultivo De Tabaco.,class,,Growing of tobacco
A0116,Cultivo De Plantas De Fibras.,class,,Growing of fibre crops
A0119,Cultivo De Otras Plantas No Perennes.,class,,Growing of other non-perennial crops
A0121,Cultivo De Uvas.,class,,Growing of grapes
A0122,Cultivo De Frutas Tropicales Y Subtropicales.,class,,Growing of tropical and subtropical fruits
A0123,Cultivo De Cítricos.,class,,Growing of citrus fruits
A0124,Cultivo De Frutas Con Hueso Y Con Pepa.,class,,Growing of pome fruits and stone fruits
A0125,Cultivo De Otros Frutos Y Nueces De Árboles Y Arbustos.,class,,Growing of other tree and bush fruits and nuts
A0126,Cultivo De Frutos Oleaginosos.,class,,Growing of oleaginous fruits
A0127,Cultivo De Plantas Con Las Que Se Preparan Bebidas.,class,,Growing of beverage crops
A0128,"Cultivo De Especias Y De Plantas Aromáticas, Medicinales Y Farmacéuticas.",class,,"Growing of spices, aromatic, drug and pharmaceutical crops"
A0129,Cultivo De Otras Plantas Perennes.,class,,Growing of other perennial crops
A0130,Propagación De Plantas.,class,,Plant propagation
A0141,Cría De Ganado Bovino Y Búfalos.,class,,Raising of cattle and buffaloes
A0142,Cría De Caballos Y Otros Equinos.,class,,Raising of horses and other equines
A0143,Cría De Camellos Y Otros Camélidos.,class,,Raising of camels and camelids
A0144,Cría De Ovejas Y Cabras.,class,,Raising of sheep and goats
A0145,Cría De Cerdos.,class,,Raising of swine/pigs
A0146,Cría De Aves De Corral.,class,,Raising of poultry
A0149,Cría De Otros Animales.,class,,Raising of other animals
A0150,Cultivo De Productos Agrícolas En Combinación Con La Cría De Animales (Explotación Mixta).,class,,Mixed farming
A0161,Actividades De Apoyo A La Agricultura.,class,,Support activities for crop production
A0162,Actividades De Apoyo A La Ganadería.,class,,Support activities for animal production
A0163,Actividades Poscosecha.,class,,Post-harvest crop activities
A0164,Tratamiento De Semillas Para Propagación.,class,,Seed processing for propagation
A0170,"Caza Ordinaria, Mediante Trampas Y Actividades De Servicios Conexas.",class,,"Hunting, trapping and related service activities"
A0210,Silvicultura Y Otras Actividades Forestales.,class,,Silviculture and other forestry activities
A0220,Extracción De Madera.,class,,Logging
A0230,Recolección De Productos Forestales Distintos De La Madera.,class,,Gathering of non-wood forest products
A0240,Servicios De Apoyo A La Silvicultura.,class,,Support services to forestry
A0311,Pesca Marina.,class,,Marine fishing
A0312,Pesca De Agua Dulce.,class,,Freshwater fishing
A0321,Acuicultura Marina.,class,,Marine aquaculture
A0322,Acuicultura De Agua Dulce.,class,,Freshwater aquaculture
B0510,Extracción De Carbón De Piedra.,class,,Mining of hard coal
B0520,Extracción De Lignito.,class,,Mining of lignite
B0610,Extracción De Petróleo Crudo.,class,,Extraction of crude petroleum
B0620,Extracción De Gas Natural.,class,,Extraction of natural gas
B0710,Extracción De Minerales De Hierro.,class,,Mining of iron ores
B0721,Extracción De Minerales De Uranio Y Torio.,class,,Mining of uranium and thorium ores
B0729,Extracción De Otros Minerales Metalíferos No Ferrosos.,class,,Mining of other non-ferrous metal ores
B0810,"Extracción De Piedra, Arena Y Arcilla.",class,,"Quarrying of stone, sand and clay"
B0891,Extracción De Minerales Para La Fabricación De Abonos Y Productos Químicos.,class,,Mining of chemical and fertilizer minerals
B0892,Extracción De Turba.,class,,Extraction of peat
B0893,Extracción De Sal.,class,,Extraction of salt
B0899,Explotación De Otras Minas Y Canteras N.C.P.,class,,Other mining and quarrying n.e.c.
B0910,Actividades De Apoyo Para La Extracción De Petróleo Y Gas Natural.,class,,Support activities for petroleum and natural gas extraction
B0990,Actividades De Apoyo Para La Explotación De Otras Minas Y Canteras.,class,,Support activities for other mining and quarrying
C1010,Elaboración Y Conservación De Carne.,class,,Processing and preserving of meat
C1020,"Elaboración Y Conservación De Pescados, Crustáceos Y Moluscos.",class,,"Processing and preserving of fish, crustaceans and molluscs"
C1030,"Elaboración Y Conservación De Frutas, Legumbres Y Hortalizas.",class,,Processing and preserving of fruit and vegetables
C1040,Elaboración De Aceites Y Grasas De Origen Vegetal Y Animal.,class,,Manufacture of vegetable and animal oils and fats
C1050,Elaboración De Productos Lácteos.,class,,Manufacture of dairy products
C1061,Elaboración De Productos De Molinería.,class,,Manufacture of grain mill products
C1062,Elaboración De Almidones Y Productos Derivados Del Almidón.,class,,Manufacture of starches and starch products
C1071,Elaboración De Productos De Panadería.,class,,Manufacture of bakery products
C1072,Elaboración De Azúcar.,class,,Manufacture of sugar
C1073,"Elaboración De Cacao, Chocolate Y Productos De Confitería.",class,,"Manufacture of cocoa, chocolate and sugar confectionery"
C1074,"Elaboración De Macarrones, Fideos, Alcuzcuz Y Productos Farináceos Similares.",class,,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
C1075,Elaboración De Comidas Y Platos Preparados.,class,,Manufacture of prepared meals and dishes
C1079,Elaboración De Otros Productos Alimenticios N.C.P.,class,,Manufacture of other food products n.e.c.
C1080,Elaboración De Alimentos Preparados Para Animales.,class,,Manufacture of prepared animal feeds
C1101,"Destilación, Rectificación Y Mezcla De Bebidas Alcohólicas.",class,,"Distilling, rectifying and blending of spirits"
C1102,Elaboración De Vinos.,class,,Manufacture of wines
C1103,Elaboración De Bebidas Malteadas Y De Malta.,class,,Manufacture of malt liquors and malt
C1104,Elaboración De Bebidas No Alcohólicas; Producción De Aguas Minerales Y Otras Aguas Embotelladas.,class,,Manufacture of soft drinks; production of mineral waters and other bottled waters
C1200,Elaboración De Productos De Tabaco.,class,,Manufacture of tobacco products
C1311,Preparación E Hilatura De Fibras Textiles.,class,,Preparation and spinning of textile fibres
C1312,Tejedura De Productos Textiles.,class,,Weaving of textiles
C1313,Servicio De Acabado De Productos Textiles.,class,,Finishing of textiles
C1391,Fabricación De Tejidos De Punto Y Ganchillo.,class,,Manufacture of knitted and crocheted fabrics
C1392,"Fabricación De Artículos Confeccionados De Materiales Textiles, Excepto Prendas De Vestir.",class,,"Manufacture of made-up textile articles, except apparel"
C1393,Fabricación De Tapices Y Alfombras.,class,,Manufacture of carpets and rugs
C1394,"Fabricación De Cuerdas, Cordeles, Bramantes Y Redes.",class,,"Manufacture of cordage, rope, twine and netting"
C1399,Fabricación De Otros Productos Textiles N.C.P.,class,,Manufacture of other textiles n.e.c.
C1410,"Fabricación De Prendas De Vestir, Excepto Prendas De Piel.",class,,"Manufacture of wearing apparel, except fur apparel"
C1420,Fabricación De Artículos De Piel.,class,,Manufacture of articles of fur
C1430,Fabricación De Artículos De Punto Y Ganchillo.,class,,Manufacture of knitted and crocheted apparel
C1511,Curtido Y Adobo De Cueros; Adobo Y Teñido De Pieles.,class,,Tanning and dressing of leather; dressing and dyeing of fur
C1512,"Fabricación De Maletas, Bolsos De Mano Y Artículos Similares, Artículos De Talabartería Y Guarnicionería.",class,,"Manufacture of luggage, handbags and the like, saddlery and harness"
C1520,Fabricación De Calzado.,class,,Manufacture of footwear
C1610,Aserrado Y Acepilladura De Madera.,class,,Sawmilling and planing of wood
C1621,Fabricación De Hojas De Madera Para Enchapado Y Tableros A Base De Madera.,class,,Manufacture of veneer sheets and wood-based panels
C1622,Fabricación De Partes Y Piezas De Carpintería Para Edificios Y Construcciones.,class,,Manufacture of builders' carpentry and joinery
C1623,Fabricación De Recipientes De Madera.,class,,Manufacture of wooden containers
C1629,"Fabricación De Otros Productos De Madera; Fabricación De Artículos De Corcho, Paja Y Materiales Trenzables.",class,,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
C1701,"Fabricación De Pasta De Madera, Papel Y Cartón.",class,,"Manufacture of pulp, paper and paperboard"
C1702,Fabricación De Papel Y Cartón Ondulado Y De Envases De Papel Y Cartón.,class,,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
C1709,Fabricación De Otros Artículos Del Papel Y Cartón.,class,,Manufacture of other articles of paper and paperboard
C1811,Actividades De Impresión.,class,,Printing
C1812,Actividades De Servicios Relacionados Con La Impresión.,class,,Service activities related to printing
C1820,Reproducción De Grabaciones.,class,,Reproduction of recorded media
C1910,Fabricación De Productos De Horno De Coque.,class,,Manufacture of coke oven products
C1920,Fabricación De Productos De La Refinación Del Petróleo.,class,,Manufacture of refined petroleum products
C2011,Fabricación De Substancias Químicas Básicas.,class,,Manufacture of basic chemicals
C2012,Fabricación De Abonos Y Compuestos De Nitrógeno.,class,,Manufacture of fertilizers and nitrogen compounds
C2013,Fabricación De Plásticos Y Cauchos Sintéticos En Formas Primarias.,class,,Manufacture of plastics and synthetic rubber in primary forms
C2021,Fabricación De Plaguicidas Y Otros Productos Químicos De Uso Agropecuario.,class,,Manufacture of pesticides and other agrochemical products
C2022,"Fabricación De Pinturas, Barnices Y Productos De Revestimiento Similares, Tintas De Imprenta Y Masillas.",class,,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
C2023,"Fabricación De Jabones Y Detergentes, Preparados Para Limpiar Y Pulir, Perfumes Y Preparados De Tocador.",class,,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
C2029,Fabricación De Otros Productos Químicos N.C.P.,class,,Manufacture of other chemical products n.e.c.
C2030,Fabricación De Fibras Artificiales.,class,,Manufacture of man-made fibres
C2100,"Fabricación De Productos Farmacéuticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmacéutico.",class,,"Manufacture of pharmaceuticals, medicinal chemical and botanical products"
C2211,Fabricación De Cubiertas Y Cámaras De Caucho; Recauchutado Y Renovación De Cubiertas De Caucho.,class,,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
C2219,Fabricación De Otros Productos De Caucho.,class,,Manufacture of other rubber products
C2220,Fabricación De Productos De Plástico.,class,,Manufacture of plastics products
C2310,Fabricación De Vidrio Y Productos De Vidrio.,class,,Manufacture of glass and glass products
C2391,Fabricación De Productos Refractarios.,class,,Manufacture of refractory products
C2392,Fabricación De Materiales De Construcción De Arcilla.,class,,Manufacture of clay building materials
C2393,Fabricación De Otros Productos De Porcelana Y De Cerámica.,class,,Manufacture of other porcelain and ceramic products
C2394,"Fabricación De Cemento, Cal Y Yeso.",class,,"Manufacture of cement, lime and plaster"
C2395,"Fabricación De Artículos De Hormigón, De Cemento Y Yeso.",class,,"Manufacture of articles of concrete, cement and plaster"
C2396,"Corte, Tallado Y Acabado De La Piedra.",class,,"Cutting, shaping and finishing of stone"
C2399,Fabricación De Otros Productos Minerales No Metálicos N.C.P.,class,,Manufacture of other non-metallic mineral products n.e.c.
C2410,Industrias Básicas De Hierro Y Acero.,class,,Manufacture of basic iron and steel
C2420,Fabricación De Productos Primarios De Metales Preciosos Y Metales No Ferrosos.,class,,Manufacture of basic precious and other non-ferrous metals
C2431,Fundición De Hierro Y Acero.,class,,Casting of iron and steel
C2432,Fundición De Metales No Ferrosos.,class,,Casting of non-ferrous metals
C2511,Fabricación De Productos Metálicos Para Uso Estructural.,class,,Manufacture of structural metal products
C2512,"Fabricación De Tanques, Depósitos Y Recipientes De Metal.",class,,"Manufacture of tanks, reservoirs and containers of metal"
C2513,"Fabricación De Generadores De Vapor, Excepto Calderas De Agua Caliente Para Calefacción Central.",class,,"Manufacture of steam generators, except central heating hot water boilers"
C2520,Fabricación De Armas Y Municiones.,class,,Manufacture of weapons and ammunition
C2591,"Forja, Prensado, Estampado Y Laminado De Metales; Pulvimetalurgia.",class,,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
C2592,Tratamiento Y Revestimiento De Metales; Maquinado.,class,,Treatment and coating of metals; machining
C2593,"Fabricación De Artículos De Cuchillería, Herramientas De Mano Y Artículos De Ferretería.",class,,"Manufacture of cutlery, hand tools and general hardware"
C2599,Fabricación De Otros Productos Elaborados De Metal N.C.P.,class,,Manufacture of other fabricated metal products n.e.c.
C2610,Fabricación De Componentes Y Tableros Electrónicos.,class,,Manufacture of electronic components and boards
C2620,Fabricación De Computadoras Y Equipo Periférico.,class,,Manufacture of computers and peripheral equipment
C2630,Fabricación De Equipo De Comunicaciones.,class,,Manufacture of communication equipment
C2640,Fabricación De Aparatos Electrónicos De Consumo.,class,,Manufacture of consumer electronics
C2651,"Fabricación De Equipos De Medición, Prueba, Navegación, Control Y De Relojes.",class,,"Manufacture of measuring, testing, navigating and control equipment"
C2652,Fabricación De Relojes.,class,,Manufacture of watches and clocks
C2660,"Fabricación De Equipo De Irradiación, Y Equipo Electrónico De Uso Medico Y Terapéutico.",class,,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
C2670,Fabricación De Instrumentos Ópticos Y Equipo Fotográficos.,class,,Manufacture of optical instruments and photographic equipment
C2680,Fabricación De Soportes Magnéticos Y Ópticos.,class,,Manufacture of magnetic and optical media
C2710,"Fabricación De Motores, Generadores, Transformadores Eléctricos Y Aparatos De Distribución Y Control De La Energía Eléctrica.",class,,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
C2720,"Fabricación De Pilas, Baterías Y Acumuladores.",class,,Manufacture of batteries and accumulators
C2731,Fabricación De Cables De Fibra Óptica.,class,,Manufacture of fibre optic cables
C2732,Fabricación De Otros Hilos Y Cables Eléctricos.,class,,Manufacture of other electronic and electric wires and cables
C2733,Fabricación De Dispositivos De Cableado.,class,,Manufacture of wiring devices
C2740,Fabricación De Equipo Eléctrico De Iluminación.,class,,Manufacture of electric lighting equipment
C2750,Fabricación De Aparatos De Uso Doméstico.,class,,Manufacture of domestic appliances
C2790,Fabricación De Otros Tipos De Equipo Eléctrico.,class,,Manufacture of other electrical equipment
C2811,"Fabricación De Motores Y Turbinas, Excepto Motores Para Aeronaves, Vehículos Automotores Y Motocicletas.",class,,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
C2812,Fabricación De Equipo De Propulsión De Fluidos.,class,,Manufacture of fluid power equipment
C2813,"Fabricación De Otras Bombas, Compresores, Grifos Y Válvulas.",class,,"Manufacture of other pumps, compressors, taps and valves"
C2814,"Fabricación De Cojinetes, Engranajes, Trenes De Engranajes Y Piezas De Transmisión.",class,,"Manufacture of bearings, gears, gearing and driving elements"
C2815,Fabricación De Hornos Y Quemadores.,class,,"Manufacture of ovens, furnaces and furnace burners"
C2816,Fabricación De Equipo De Elevación Y Manipulación.,class,,Manufacture of lifting and handling equipment
C2817,Fabricación De Maquinaria Y Equipo De Oficina (Excepto Computadoras Y Equipo Periférico).,class,,Manufacture of office machinery and equipment (except computers and peripheral equipment)
C2818,Fabricación De Herramientas De Mano Motorizadas.,class,,Manufacture of power-driven hand tools
C2819,Fabricación De Otros Tipos De Maquinaria De Uso General.,class,,Manufacture of other general-purpose machinery
C2821,Fabricación De Maquinaria Agropecuaria Y Forestal.,class,,Manufacture of agricultural and forestry machinery
C2822,Fabricación De Maquinaria Para La Conformación De Metales Y De Máquinas Herramienta.,class,,Manufacture of metal-forming machinery and machine tools
C2823,Fabricación De Maquinaria Metalúrgica.,class,,Manufacture of machinery for metallurgy
C2824,Fabricación De Maquinaria Para La Explotación De Minas Y Canteras Y Para Obras De Construcción.,class,,"Manufacture of machinery for mining, quarrying and construction"
C2825,"Fabricación De Maquinaria Para La Elaboración De Alimentos, Bebidas Y Tabaco.",class,,"Manufacture of machinery for food, beverage and tobacco processing"
C2826,"Fabricación De Maquinaria Para La Elaboración De Productos Textiles, Prendas De Vestir Y Cueros.",class,,"Manufacture of machinery for textile, apparel and leather production"
C2829,Fabricación De Otros Tipos De Maquinaria De Uso Especial.,class,,Manufacture of other special-purpose machinery
C2910,Fabricación De Vehículos Automotores.,class,,Manufacture of motor vehicles
C2920,Fabricación De Carrocerías Para Vehículos Automotores; Fabricación De Remolques Y Semirremolques.,class,,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
C2930,"Fabricación De Partes, Piezas Y Accesorios Para Vehículos Automotores.",class,,Manufacture of parts and accessories for motor vehicles
C3011,Construcción De Buques Y Estructuras Flotantes.,class,,Building of ships and floating structures
C3012,Construcción De Embarcaciones De Recreo Y Deporte.,class,,Building of pleasure and sporting boats
C3020,Fabricación De Locomotoras Y Material Rodante.,class,,Manufacture of railway locomotives and rolling stock
C3030,Fabricación De Aeronaves Y Naves Especiales Y Maquinaria Conexa.,class,,Manufacture of air and spacecraft and related machinery
C3040,Fabricación De Vehículos Militares De Combate.,class,,Manufacture of military fighting vehicles
C3091,Fabricación De Motocicletas.,class,,Manufacture of motorcycles
C3092,Fabricación De Bicicletas Y De Sillas De Ruedas Para Inválidos.,class,,Manufacture of bicycles and invalid carriages
C3099,Fabricación De Otros Tipos De Equipo De Transporte N.C.P.,class,,Manufacture of other transport equipment n.e.c.
C3100,Fabricación De Muebles.,class,,Manufacture of furniture
C3211,Fabricación De Joyas Y Artículos Conexos.,class,,Manufacture of jewellery and related articles
C3212,Fabricación De Bisutería Y Artículos Conexos.,class,,Manufacture of imitation jewellery and related articles
C3220,Fabricación De Instrumentos Musicales.,class,,Manufacture of musical instruments
C3230,Fabricación De Artículos De Deporte.,class,,Manufacture of sports goods
C3240,Fabricación De Juegos Y Juguetes.,class,,Manufacture of games and toys
C3250,Fabricación De Instrumentos Y Materiales Médicos Y Odontológicos.,class,,Manufacture of medical and dental instruments and supplies
C3290,Otras Industrias Manufactureras N.C.P.,class,,Other manufacturing n.e.c.
C3311,Reparación De Productos Elaborados De Metal.,class,,Repair of fabricated metal products
C3312,Reparación De Maquinaria.,class,,Repair of machinery
C3313,Reparación De Equipo Electrónico Y Óptico.,class,,Repair of electronic and optical equipment
C3314,Reparación De Equipo Eléctrico.,class,,Repair of electrical equipment
C3315,"Reparación De Equipo De Transporte, Excepto Vehículos Automotores.",class,,"Repair of transport equipment, except motor vehicles"
C3319,Reparación De Otros Tipos De Equipo.,class,,Repair of other equipment
C3320,Instalación De Maquinaria Y Equipo Industriales.,class,,Installation of industrial machinery and equipment
D3510,"Generación, Transmisión Y Distribución De Energía Eléctrica.",class,,"Electric power generation, transmission and distribution"
D3520,Fabricación De Gas; Distribución De Combustibles Gaseosos Por Tuberías.,class,,Manufacture of gas; distribution of gaseous fuels through mains
D3530,Suministro De Vapor Y De Aire Acondicionado.,class,,Steam and air conditioning supply
E3600,"Captación, Tratamiento Y Distribución De Agua.",class,,"Water collection, treatment and supply"
